,stop_id1,stop_id2,distance,latitude1,longitude1,latitude2,longitude2
49,8503007:0:3,8503200:0:2,7.126961306444379,47.41875,8.544659,47.32443,8.5480175
50,8503008:0:1,8590606,15.108352823973242,47.42091,8.508582,47.371815,8.640167
51,8503008P,8503087:0:103,4.987198780315741,47.42091,8.508582,47.357796,8.521967
52,8503009:0:3,8590901,13.370290547582048,47.347443,8.5336,47.41043,8.645889
53,8503009P,8503099,3.4627468640427814,47.347443,8.5336,47.30329,8.525165
54,8503009P,8591197,6.310834304737111,47.347443,8.5336,47.40135,8.4902115
55,8503010:0:2,8591423,5.2464535285796545,47.364098,8.530824,47.40277,8.491631
56,8503011,8591143,4.316934524727941,47.37148,8.523485,47.408936,8.494137
57,8503011,Parent8503054,3.166953652385343,47.37148,8.523485,47.364994,8.495377
58,8503011:0,8590582,9.573916071824124,47.37148,8.523485,47.40015,8.607271
59,8503015:0,8573205:0,5.755572290713431,47.39304,8.529378,47.45016,8.563747
60,8503015:0:1,8503001:0,4.500505237992626,47.39304,8.529378,47.391483,8.488963
61,8503015:0:2,8583870P,10.632772005564693,47.39304,8.529378,47.357174,8.437004
62,8503015:0:2,8591439,4.119802436119386,47.39304,8.529378,47.33844,8.530159
63,8503016:0:1,8590587,9.00423337029469,47.450386,8.5624,47.393055,8.633367
64,8503016:0:3,8590463,10.80354535619731,47.450386,8.5624,47.313595,8.533807
65,8503016:0:3,8591148,3.577207772478458,47.450386,8.5624,47.40394,8.569065
66,8503020:0:1,8503015P,1.4865466930751252,47.385197,8.517125,47.39304,8.529378
67,8503020:0:4,8591124,5.070653097195545,47.385197,8.517125,47.42546,8.553633
68,8503020P,8503128P,11.88605457067146,47.385197,8.517125,47.40008,8.623423
69,8503051:0:19,8503056:0:661,4.552775349718746,47.362766,8.518292,47.360294,8.477428
70,8503051:0:19,8590680,4.1361028612697455,47.362766,8.518292,47.32506,8.54526
71,8503051:0:410,8573242,6.9965684195631646,47.362766,8.518292,47.449844,8.540265
72,8503051:0:410,8595080,11.583494675412261,47.362766,8.518292,47.42263,8.614142
73,8503052,8591155,4.802407206478103,47.3648,8.5075035,47.414444,8.480437
74,8503052,8591275,3.397546986150648,47.3648,8.5075035,47.406326,8.495602
75,8503052:0:1,Parent8573726,5.224229037720911,47.3648,8.5075035,47.326298,8.468499
76,8503053,8590512,9.899274241771604,47.364944,8.503533,47.39758,8.417394
77,8503053,8591307,4.495103516225454,47.364944,8.503533,47.40198,8.53519
78,8503054,8590832,6.193484276251775,47.364994,8.495377,47.410484,8.449033
79,8503054,8591092,6.016361665563918,47.364994,8.495377,47.414284,8.537903
80,8503054,8591108,5.403793549474954,47.364994,8.495377,47.413372,8.5312195
81,8503054,8591110,3.8454763466411364,47.364994,8.495377,47.3884,8.5260725
82,8503054,Parent8502229,7.33945867825416,47.364994,8.495377,47.38097,8.430339
83,8503055:0:1,8576127:0:A,21.59805174514531,47.365925,8.46592,47.383984,8.659553
84,8503055:0:1,8591826,18.051381702354405,47.365925,8.46592,47.357094,8.627968
85,8503055:0:641,8503008P,6.301239271844686,47.365925,8.46592,47.42091,8.508582
86,8503056:0:661,8590824,10.629685693066952,47.360294,8.477428,47.296814,8.56266
87,8503059,8591398,4.544337591962838,47.36635,8.548125,47.39004,8.510585
88,8503074,8590887,8.031170913783248,47.325813,8.63784,47.416862,8.6003
89,8503075,8591317,9.34384845657312,47.33679,8.617018,47.363388,8.535037
90,8503077,8590682,6.444896277455068,47.34731,8.596796,47.32636,8.540669
91,8503078,8590677,5.785503655299198,47.34547,8.593023,47.332108,8.541846
92,8503081,8573726:0:C,4.500231589422525,47.310143,8.507414,47.326298,8.468499
93,8503086:0:1,8590571,10.975041740966345,47.351643,8.526234,47.38884,8.621554
94,8503086:0:1,8591029,8.4293501237998,47.351643,8.526234,47.35062,8.601953
95,8503087,8576265,8.187577701095828,47.357796,8.521967,47.43422,8.469649
96,8503087:0:2,8591074,3.0863062844569455,47.357796,8.521967,47.393764,8.508708
97,8503088:0,8576198,2.2247745949835247,47.377426,8.539169,47.357994,8.554207
98,8503088:0,8590750,5.910989427426584,47.377426,8.539169,47.428318,8.579594
99,8503088:0:22,8591056,5.747139934849913,47.377426,8.539169,47.391106,8.488379
100,8503089:0:1,8591245,5.124558550307493,47.29654,8.535648,47.35873,8.517089
101,8503090:0:1,8591408,5.411288738680832,47.37224,8.531722,47.37983,8.483384
102,8503090:0:101,8590590,11.299441742919244,47.37224,8.531722,47.390537,8.632468
103,8503090:0:101,8590621,5.083160886731165,47.37224,8.531722,47.428093,8.557361
104,8503091:0:12,8503129:0:4,8.650129271390952,47.362614,8.522012,47.412724,8.591928
105,8503091:0:12,8591132,5.299909805293413,47.362614,8.522012,47.380577,8.568042
