,allstops.stop_id,allstops.stop_name,allstops.latitude,allstops.longitude,allstops.location_type,allstops.parent_station,center_dist
29557,8577519,"Wollerau, Oswäldli",47.190784,8.700381,,,24.10330134333076
29559,8577521,"Wollerau, Hafen",47.201736,8.71179,,,23.518075238067166
29560,8577522,"Wollerau, Wyssenfluh",47.19883,8.719848,,,24.124578105475184
29561,8577523,"Wollerau, Weingarten/Bellevue",47.197334,8.723989,,,24.438182188314524
29562,8577524,"Wollerau, Obermühle",47.191017,8.720719,,,24.88498909689391
29563,8577525,"Wollerau, Roos",47.189915,8.720907,,,24.995506555884855
29567,8577529,"Zug, Bundesplatz",47.171303,8.514403,,,23.111003736062123
29568,8577530,"Zug, Postplatz",47.167957,8.515445,,,23.475807406877152
29569,8577531,"Baar, Moosrank (Höllgrotten)",47.17835,8.548377,,,22.253185596374863
29570,8577532,"Allenwinden, Inkenberg",47.17573,8.549572,,,22.547376926288088
29571,8577533,"Allenwinden, Egg",47.16966,8.553471,,,23.233569390084963
29572,8577534,"Allenwinden, Grüt",47.16674,8.553471,,,23.558324512911383
29573,8577535,"Allenwinden, St. Meinrad",47.15981,8.558142,,,24.34612230486405
29574,8577536,"Neuägeri, Schmittli",47.154205,8.561062,,,24.982022251009223
29575,8577537,"Unterägeri, Zimmel",47.138733,8.574779,,,26.781978479564994
29576,8577538,"Unterägeri, Seefeld",47.137672,8.586224,,,26.996807707287655
29577,8577539,"Oberägeri, Fischmatt",47.136017,8.607873,,,27.435650087873622
29578,8577540,"Edlibach, Hündlital",47.1823,8.565329,,,21.887094767181548
29579,8577541,"Edlibach, Oberedlibach",47.181343,8.573242,,,22.05262881291072
29580,8577542,"Edlibach, Sonnhalde",47.18098,8.578246,,,22.138488563446735
29581,8577543,"Menzingen, Weid",47.17605,8.594497,,,22.870003645893902
29582,8577544,"Menzingen, Moosstrasse",47.17306,8.60057,,,23.282693972272348
29583,8577545,"Menzingen, Kreuzegg",47.172085,8.603983,,,23.440567973210513
29584,8577546,"Zug, Salesianum",47.15621,8.510855,,,24.80800624039388
29585,8577547,"Oberwil b. Zug, Kreuz",47.148827,8.507145,,,25.652356902150167
29586,8577548,"Oberwil b. Zug, Widenstrasse",47.1468,8.507046,,,25.877663695054288
29587,8577549,"Oberwil b. Zug, Räbmatt",47.138546,8.505096,,,26.806455880672168
29588,8577550,"Oberwil b. Zug, Murpfli",47.12898,8.499176,,,27.9122387750399
29589,8577551,"Walchwil, Lotenbach",47.113934,8.500785,,,29.564993430927363
29597,8577559,"Zug, Guthirt",47.17738,8.518005,,,22.415092101673856
29598,8577560,"Zug, Kistenfabrik",47.181053,8.519137,,,22.00105638432931
29599,8577561,"Baar, Südstrasse",47.18937,8.521894,,,21.06310104135631
29601,8577563,"Baar, Lättichstrasse",47.198593,8.538496,,,19.991599899432504
